"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"JA000047420","NEMURO, JA","1931-01-01",,"-6.7","-10.2"
"JA000047420","NEMURO, JA","1931-01-02",,"-2.2","-12.6"
"JA000047420","NEMURO, JA","1931-01-03",,"-0.8","-3.8"
"JA000047420","NEMURO, JA","1931-01-04",,"-0.7","-7.1"
"JA000047420","NEMURO, JA","1931-01-05",,"-0.3","-9.6"
"JA000047420","NEMURO, JA","1931-01-06",,"-8.0","-12.7"
"JA000047420","NEMURO, JA","1931-01-07",,"-3.9","-12.3"
"JA000047420","NEMURO, JA","1931-01-08",,"-6.0","-11.7"
"JA000047420","NEMURO, JA","1931-01-09",,"-4.3","-9.8"
"JA000047420","NEMURO, JA","1931-01-10",,"-0.7","-5.3"
"JA000047420","NEMURO, JA","1931-01-11",,"-2.7","-9.4"
"JA000047420","NEMURO, JA","1931-01-12",,"-8.8","-16.2"
"JA000047420","NEMURO, JA","1931-01-13",,"-2.8","-16.2"
"JA000047420","NEMURO, JA","1931-01-14",,"-4.4","-13.2"
"JA000047420","NEMURO, JA","1931-01-15",,"-5.5","-14.1"
"JA000047420","NEMURO, JA","1931-01-16",,"-1.5","-14.8"
"JA000047420","NEMURO, JA","1931-01-17",,"1.8","-6.7"
"JA000047420","NEMURO, JA","1931-01-18",,"-3.1","-13.1"
"JA000047420","NEMURO, JA","1931-01-19",,"-3.7","-11.2"
"JA000047420","NEMURO, JA","1931-01-20",,"-3.5","-13.1"
"JA000047420","NEMURO, JA","1931-01-21",,"-6.7","-15.4"
"JA000047420","NEMURO, JA","1931-01-22",,"-6.5","-16.1"
"JA000047420","NEMURO, JA","1931-01-23",,"-2.1","-11.4"
"JA000047420","NEMURO, JA","1931-01-24",,"0.5","-7.2"
"JA000047420","NEMURO, JA","1931-01-25",,"-4.3","-11.3"
"JA000047420","NEMURO, JA","1931-01-26",,"-5.1","-10.0"
"JA000047420","NEMURO, JA","1931-01-27",,"-9.3","-16.8"
"JA000047420","NEMURO, JA","1931-01-28",,"-4.3","-19.3"
"JA000047420","NEMURO, JA","1931-01-29",,"-3.2","-13.5"
"JA000047420","NEMURO, JA","1931-01-30",,"-3.4","-7.5"
"JA000047420","NEMURO, JA","1931-01-31",,"-5.5","-15.1"
"JA000047420","NEMURO, JA","1931-02-01",,"0.5","-10.9"
"JA000047420","NEMURO, JA","1931-02-02",,"-1.3","-8.0"
"JA000047420","NEMURO, JA","1931-02-03",,"-7.3","-11.7"
"JA000047420","NEMURO, JA","1931-02-04",,"-9.4","-15.5"
"JA000047420","NEMURO, JA","1931-02-05",,"-7.2","-16.7"
"JA000047420","NEMURO, JA","1931-02-06",,"-7.7","-18.4"
"JA000047420","NEMURO, JA","1931-02-07",,"-6.4","-21.0"
"JA000047420","NEMURO, JA","1931-02-08",,"-8.5","-18.0"
"JA000047420","NEMURO, JA","1931-02-09",,"-6.9","-15.5"
"JA000047420","NEMURO, JA","1931-02-10",,"-5.7","-17.5"
"JA000047420","NEMURO, JA","1931-02-11",,"-9.7","-17.8"
"JA000047420","NEMURO, JA","1931-02-12",,"-2.7","-18.7"
"JA000047420","NEMURO, JA","1931-02-13",,"-3.7","-13.0"
"JA000047420","NEMURO, JA","1931-02-14",,"-1.8","-11.1"
"JA000047420","NEMURO, JA","1931-02-15",,"-5.5","-14.0"
"JA000047420","NEMURO, JA","1931-02-16",,"-11.2","-17.2"
"JA000047420","NEMURO, JA","1931-02-17",,"-12.5","-20.1"
"JA000047420","NEMURO, JA","1931-02-18",,"-5.3","-22.9"
"JA000047420","NEMURO, JA","1931-02-19",,"-8.6","-17.2"
"JA000047420","NEMURO, JA","1931-02-20",,"-3.4","-20.7"
"JA000047420","NEMURO, JA","1931-02-21",,"-9.0","-14.1"
"JA000047420","NEMURO, JA","1931-02-22",,"-7.5","-18.8"
"JA000047420","NEMURO, JA","1931-02-23",,"-3.4","-14.4"
"JA000047420","NEMURO, JA","1931-02-24",,"-0.1","-10.0"
"JA000047420","NEMURO, JA","1931-02-25",,"-4.5","-12.1"
"JA000047420","NEMURO, JA","1931-02-26",,"-3.2","-14.6"
"JA000047420","NEMURO, JA","1931-02-27",,"-3.8","-9.0"
"JA000047420","NEMURO, JA","1931-02-28",,"-2.3","-8.6"
"JA000047420","NEMURO, JA","1931-03-01",,"-2.3","-10.3"
"JA000047420","NEMURO, JA","1931-03-02",,"-2.6","-16.2"
"JA000047420","NEMURO, JA","1931-03-03",,"1.1","-8.8"
"JA000047420","NEMURO, JA","1931-03-04",,"3.3","-4.5"
